metricId;crawlJobId;organizationId;sourceId;dimensions;rawValue;rawLast;avg3d;avg7d;avg15d;avg30d;stddev7d;stddev30d
3;23672;108;220;;0;0;0;0;0;0;0;0
4;23672;108;220;;59229;59039;58679.333333333336;58796.42857142857;58375.666666666664;57358.65517241379;343.21166194923967;1171.8419416740253
2;23672;108;220;;31320;31299;31139.666666666668;31554.714285714286;31722.8;31403.793103448275;450.84926663408226;521.0682250193839
3;23672;108;220;;122234;121431;121255;119195.57142857143;113507.86666666667;111709.41379310345;3376.781513180132;14109.13705789374
4;23672;108;220;;59229;59039;58679.333333333336;58796.42857142857;58375.666666666664;57358.65517241379;343.21166194923967;1171.8419416740253
2;23672;108;220;;31320;31299;31139.666666666668;31554.714285714286;31722.8;31403.793103448275;450.84926663408226;521.0682250193839
9;23672;108;220;;0;0;0;0;0;0;0;0
8;23672;108;220;;0.01;0.01;0.01;0.01;0.01;0.01;0;0
7;23672;108;220;;0;0;0;0;0;0;0;0
3;23672;108;220;;122234;121431;121255;119195.57142857143;113507.86666666667;111709.41379310345;3376.781513180132;14109.13705789374
5;23672;108;220;;0;0;0;0;0;0;0;0
4;23672;108;220;;59229;59039;58679.333333333336;58796.42857142857;58375.666666666664;57358.65517241379;343.21166194923967;1171.8419416740253
2;23672;108;220;;31320;31299;31139.666666666668;31554.714285714286;31722.8;31403.793103448275;450.84926663408226;521.0682250193839
12;23672;108;220;;0;0;0;0;0;0;0;0
9;23672;108;220;;0;0;0;0;0;0;0;0
8;23672;108;220;;0.01;0.01;0.01;0.01;0.01;0.01;0;0
7;23672;108;220;;0;0;0;0;0;0;0;0
3;23672;108;220;;122234;121431;121255;119195.57142857143;113507.86666666667;111709.41379310345;3376.781513180132;14109.13705789374
5;23672;108;220;;0;0;0;0;0;0;0;0
4;23672;108;220;;59229;59039;58679.333333333336;58796.42857142857;58375.666666666664;57358.65517241379;343.21166194923967;1171.8419416740253
2;23672;108;220;;31320;31299;31139.666666666668;31554.714285714286;31722.8;31403.793103448275;450.84926663408226;521.0682250193839
12;23672;108;220;;0;0;0;0;0;0;0;0
9;23672;108;220;;0;0;0;0;0;0;0;0
